,sales
1492,19
1493,19
1494,128
1495,1
1496,3
1497,4
1498,10
1499,1
1500,15
1501,21
1502,29
1503,4
1504,12
1505,7
1506,2
1507,10
1508,13
1509,191
1510,81
1511,1
1512,3
1513,6
1514,31
1515,30
1516,3
1517,13
1518,7
1519,33
1520,4
1521,224
1522,75
1523,23
1524,2
1525,14
1526,5
1527,4
1528,3
1529,3
1530,82
1531,58
1532,10
1533,7
1534,2
1535,6
1536,5
1537,17
1538,7
1539,13
1540,3
1541,3
1542,2
1543,1
1544,1
1545,43
1546,12
1547,38
1548,8
1549,40
1550,4
1551,2
1552,12
1553,3
1554,9
1555,76
1556,73
1557,4
1558,15
1559,5
1560,31
1561,11
1562,1
1563,76
1564,6
1565,3
1566,8
1567,8
1568,5
1569,13
1570,38
1571,131
1572,1
1573,11
1574,35
1575,8
